datelastmodified	institutioncode	collectioncode	catalognumber	scientificname	basisofrecord	kingdom	phylum	class	ordem	family	genus	species	subspecies	scientificnameauthor	identifiedby	yearidentified	monthidentified	dayidentified	typestatus	collectornumber	fieldnumber	collector	yearcollected	monthcollected	daycollected	julianday	timeofday	continentocean	country	stateprovince	county	locality	longitude	latitude	longitude_mun	latitude_mun	coordinateprecision	boundingbox	minimumelevation	maximumelevation	minimumdepth	maximumdepth	sex	preparationtype	individualcount	previouscatalognumber	relationshiptype	relatedcatalogitem	notes	barcode
"2006-01-12 00:00:00-02"	"Fundación Puerto Rastrojo - Colômbia"	FPR-COLOMBIA	51141	"Phractocephalus hemioliopterus"	O	Animalia	Chordata	Actinopterigii	Siluriformes	Pimelodidae	Phractocephalus	hemioliopterus																	Colombia	Amazonas	"Mirití Paraná"	Amazonas	-71	-1											1				"Proyecto para el desarrollo de la pesca artesanal en el eje Puerto Leguízamo La Tagua [Intendencia del Putumayo] GUTIERREZ BONILLA, Francisco de P."	
"2006-01-12 00:00:00-02"	"Fundación Puerto Rastrojo - Colômbia"	FPR-COLOMBIA	51133	"Phractocephalus hemioliopterus"	O	Animalia	Chordata	Actinopterigii	Siluriformes	Pimelodidae	Phractocephalus	hemioliopterus																	Colombia	Amazonas	"La Chorrera"	"Puerto Arica Río Putumayo"	-71.7369444444444	-2.13333333333333											1				"Informe final del recorrido por los ríos Putumayo y Caraparaná. Departamento del Amazonas y Putumayo, Amazonía colombiana : Fase de campo realizada durante los meses de julio a octubre de 1991 RIVAS PAVA, María del P.;MUÑOZ SOSA, Diego L."	
"2006-01-12 00:00:00-02"	"Fundación Puerto Rastrojo - Colômbia"	FPR-COLOMBIA	51132	"Phractocephalus hemioliopterus"	O	Animalia	Chordata	Actinopterigii	Siluriformes	Pimelodidae	Phractocephalus	hemioliopterus																	Colombia	Guainía	Inírida	"Río Inírida afluente Río Orinoco"	-68.5	3.06166666666667											1				"Los bagres de la subfamilia Sorubiminae de la Orinoquia y Amazonia colombiana [Siluriformes-Pimelodidae] CASTRO, Dario M."	
"2006-01-12 00:00:00-02"	"Fundación Puerto Rastrojo - Colômbia"	FPR-COLOMBIA	51131	"Phractocephalus hemioliopterus"	O	Animalia	Chordata	Actinopterigii	Siluriformes	Pimelodidae	Phractocephalus	hemioliopterus																	Colombia	Amazonas	"La Pedrera"	"La Pedrera Río Caquetá"	-69.7333333333333	-1.32833333333333											1				"Los bagres de la subfamilia Sorubiminae de la Orinoquia y Amazonia colombiana [Siluriformes-Pimelodidae] CASTRO, Dario M."	
"2006-01-12 00:00:00-02"	"Fundación Puerto Rastrojo - Colômbia"	FPR-COLOMBIA	51130	"Phractocephalus hemioliopterus"	O	Animalia	Chordata	Actinopterigii	Siluriformes	Pimelodidae	Phractocephalus	hemioliopterus																	Colombia	Meta	"Vista Hermosa"	"Serrania De La Macarena"	-73.9166666666667	2.75									H		1				"Estudio biológico pesquero en aguas bajas de los ríos Duda, Guayabero y sus tributarios en el P.N.N. La Macarena MOLANO RUEDA, Fernando;VARGAS TORRES, Héctor;MAYORGA, Marcela"	
"2006-01-12 00:00:00-02"	"Fundación Puerto Rastrojo - Colômbia"	FPR-COLOMBIA	51139	"Phractocephalus hemioliopterus"	O	Animalia	Chordata	Actinopterigii	Siluriformes	Pimelodidae	Phractocephalus	hemioliopterus																	Colombia	Caquetá	Solano	"Araracuara Río Caquetá"	-72.4013888888889	-0.606666666666667											1				"Los bagres de la subfamilia Sorubiminae de la Orinoquia y Amazonia colombiana [Siluriformes-Pimelodidae] CASTRO, Dario M."	
"2006-01-12 00:00:00-02"	"Fundación Puerto Rastrojo - Colômbia"	FPR-COLOMBIA	51138	"Phractocephalus hemioliopterus"	O	Animalia	Chordata	Actinopterigii	Siluriformes	Pimelodidae	Phractocephalus	hemioliopterus																	Colombia	Meta	"Puerto Concordia"	"Río Guayabero afluente Río Guaviare"	-72.7833333333333	2.6											1				"Los bagres de la subfamilia Sorubiminae de la Orinoquia y Amazonia colombiana [Siluriformes-Pimelodidae] CASTRO, Dario M."	
"2006-01-12 00:00:00-02"	"Fundación Puerto Rastrojo - Colômbia"	FPR-COLOMBIA	51150	"Phractocephalus hemioliopterus"	O	Animalia	Chordata	Actinopterigii	Siluriformes	Pimelodidae	Phractocephalus	hemioliopterus																	Colombia	Amazonas	"Mirití Paraná"	"Chorro La Libertad, Río Apaporis"	-69.6666666666667	-1.15											1				"Los bagres de la subfamilia Sorubiminae de la Orinoquia y Amazonia colombiana [Siluriformes-Pimelodidae] CASTRO, Dario M."	
"2006-01-12 00:00:00-02"	"Fundación Puerto Rastrojo - Colômbia"	FPR-COLOMBIA	51140	"Phractocephalus hemioliopterus"	O	Animalia	Chordata	Actinopterigii	Siluriformes	Pimelodidae	Phractocephalus	hemioliopterus																	Colombia	Meta	"Vista Hermosa"	"Serrania De La Macarena"	-73.9166666666667	2.75											1				"Estudio biológico pesquero en aguas bajas de los ríos Duda, Guayabero y sus tributarios en el P.N.N. La Macarena MOLANO RUEDA, Fernando;VARGAS TORRES, Héctor;MAYORGA, Marcela"	
"2006-01-12 00:00:00-02"	"Fundación Puerto Rastrojo - Colômbia"	FPR-COLOMBIA	51149	"Phractocephalus hemioliopterus"	O	Animalia	Chordata	Actinopterigii	Siluriformes	Pimelodidae	Phractocephalus	hemioliopterus																	Colombia	Arauca	Arauca	"Arauca Río Arauca"	-70.7575	7.08777777777778											1				"Evaluación biológico-pesquera de las principales especies de consumo en Arauca PINEDA ARGUELLO, Iveth Z."	
