"genus"	"species"	"latitude"	"longitude"	"source"
"Phractocephalus"	"Phractocephalus hemioliopterus"	1.464167	-61.246389	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-4.114722	-53.374444	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-1.67511	-57.47678	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-13.01595	-62.76304	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-12.51182	-63.92746	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-12.48644	-63.88531	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-13.05622	-62.75549	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-14.87935	-64.98919	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-13.66647	-65.40027	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-15.42366	-65.10744	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-12.69175	-64.2912	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-12.80566	-63.16317	"gbif"
"Phractocephalus"	"Phractocephalus hemiliopterus"	8.716667	-62.133333	"gbif"
"Phractocephalus"	"Phractocephalus hemiliopterus"	8.622222	-61.7925	"gbif"
"Phractocephalus"	"Phractocephalus hemiliopterus"	8.944819	-69.021135	"gbif"
"Phractocephalus"	"Phractocephalus hemiliopterus"	-3.582757	-49.621874	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	3.14744	-65.85381	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	5.65737	-67.62555	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-11.11667	-66.18333	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-3.1	-60.02	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-14.1	-60.02	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-3.1	-60.02	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-3.425	-61.358333	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-3.125	-67.975	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-2.641667	-56.758333	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-2.641667	-56.758333	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-3.408333	-64.758333	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-3.108333	-61.508333	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-3.091667	-51.891667	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-3.208333	-60.091667	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-4.141667	-63.125	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-1.875	-55.508333	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-3.408333	-64.758333	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-3.108333	-61.508333	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	6.187778	-67.483333	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-4.215278	-69.933333	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	6.187778	-67.483333	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-2.408811	-54.717215	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	7.892501	-67.450914	"gbif"
