datelastmodified	institutioncode	collectioncode	catalognumber	scientificname	basisofrecord	kingdom	phylum	class	ordem	family	genus	species	subspecies	scientificnameauthor	identifiedby	yearidentified	monthidentified	dayidentified	typestatus	collectornumber	fieldnumber	collector	yearcollected	monthcollected	daycollected	julianday	timeofday	continentocean	country	stateprovince	county	locality	longitude	latitude	longitude_mun	latitude_mun	coordinateprecision	boundingbox	minimumelevation	maximumelevation	minimumdepth	maximumdepth	sex	preparationtype	individualcount	previouscatalognumber	relationshiptype	relatedcatalogitem	notes	barcode
"2015-09-01 10:59:28-03"	ANSP	ANSP-ICHTHYOLOGY	117172	"Brochis dipterus"	S	Animalia	Chordata	Actinopteri	Siluriformes	Callichthyidae	Brochis	dipterus			"E.D.Cope, 1872a:278"				Holotype		Z117172	"John Hauxwell"							Peru			"Ambyiacu River."	-72.270473	-3.248339										"[1 alc; 0 sk; 0 c&s]"	1				"Identif.Remarks: Removed from ANSP 8231-8237, 7 syntypes of BROCHIS COERULEUS by Nijssen,1969; = BROCHIS SPLENDENS in Nijs&Isbr(1970:166) Location Remarks: E.D. Cope collection. Georef.Remarks: Polygon covers Rio Ampiyacu."	ANSP117172
"2015-09-01 11:23:01-03"	ANSP	ANSP-ICHTHYOLOGY	180528	"Brochis splendens"	S	Animalia	Chordata	Actinopteri	Siluriformes	Callichthyidae	Brochis	splendens			"M.H. Sabaj, 2005"						"PERU 2003-03"	"M.H. Sabaj, N.J. Salcedo & B. Sidlauskas"							Peru	"Dept. Loreto"	"Prov. Maynas"	"Moena Cano & mouth of Ullpa Cano, a trib of Moena Cano (R. Itaya-Amazonas Dr.), just southeast of Belen, Iquitos."	-73.248509	-3.789997										"seine [1 alc; 0 sk; 0 c&s]"	1				"Location Remarks: seined mouth of Ullpa Cano and small patch of vegetation along bank of Moena Cano downstream from Ullpa mouth."	ANSP180528
"2015-09-01 10:59:28-03"	ANSP	ANSP-ICHTHYOLOGY	169764	Callichthyidae	S	Animalia	Chordata	Actinopteri	Siluriformes	Callichthyidae	Callichthyidae				"M.W. Littmann/2001"						DF92-103	"D. Fromm"							Paraguay	Dept.Boqueron		"Pond (borrow pit) on N side of TransChaco Highway at km 464.1."	-61.117449	-21.646381										"[4 alc; 0 sk; 0 c&s]"	4				"Location Remarks: Coordinates approximate. Georef.Remarks: Polygon covers Trans Chacho road in Dep. Boqueron. Coordinates placed at center of polygon."	ANSP169764
"2015-09-01 10:59:28-03"	ANSP	ANSP-ICHTHYOLOGY	174782	Callichthyidae	S	Animalia	Chordata	Actinopteri	Siluriformes	Callichthyidae	Callichthyidae				W.G.Saul,1996						DF96-54	"D. W. Fromm, J. Barnett"							Paraguay	"Boqueron Dept."		"Shaded pool, nearly dry, along side of Ruta TransChaco NW of Mariscal Estigarribia."	-60.746887	-21.91386										"[2 alc; 0 sk; 0 c&s]"	2				"Location Remarks: Co-ordinates by GPS. See FN."	ANSP174782
"2015-09-01 11:23:01-03"	ANSP	ANSP-ICHTHYOLOGY	175810	Callichthyidae	S	Animalia	Chordata	Actinopteri	Siluriformes	Callichthyidae	Callichthyidae				W.G.Saul,1997						WGS97-35	"W. G. Saul, G. G. Watkins, N. R. Liley, D. Torres, C.Watson, D.& R. Allicock, E.McBirney"							Guyana		"Siparuni VIII-2"	"Culvert creek crossing Kurupukari-Surama River road."	-58.838513	4.392858							0	1		"rotenone [19 alc; 0 sk; 0 c&s]"	19				"Location Remarks: Co-ordinates by GPS.Water-cloudy;current-moderate;vegetat- ion-submergents and emergents;bottom-sand,logs;shoreline- thick grass adjoining roadside. See FN. IWOKRAMA FAUNAL SURVEY Georef.Remarks: Coordinates at mid-way point on road Kurupukari-Surama. Error covers distance between the two villages."	ANSP175810
"2015-09-01 11:23:01-03"	ANSP	ANSP-ICHTHYOLOGY	175811	Callichthyidae	S	Animalia	Chordata	Actinopteri	Siluriformes	Callichthyidae	Callichthyidae				W.G.Saul,1997						WGS97-37	"W. G. Saul, N. R. Liley, D. Torres, C. Watson*"							Guyana		"Siparuni VIII-2"	"Clear water creek at campsite 3.1 miles from Kurupukari field station on Kurupukari-Surama River road (Tiger Cr.)."	-58.673533	4.662133							0	1		"seine,hoops [1 alc; 0 sk; 0 c&s]"	1				"Location Remarks: Co-ordinates by GPS.Water-transparent;current-moderate; vegetation-marginal overhanging grasses;bottom-sand; shoreline-open grassland along road,otherwise forest.* R.Allicock,E.McBirney.IWOKRAMA FAUNAL SURVEY. See FN. Georef.Remarks: Coordinates at Kurukukari, error covers 3.1 miles around village."	ANSP175811
"2015-09-01 10:59:28-03"	ANSP	ANSP-ICHTHYOLOGY	16989	Callichthys	S	Animalia	Chordata	Actinopteri	Siluriformes	Callichthyidae	Callichthys				H.W.Fowler																	"No locality data."	0	0										"[0 alc; 1 sk; 0 c&s]"	1	42			"Identif.Remarks: Skin. Missing. Location Remarks: E.D. Cope collection."	ANSP016989
"2015-09-01 10:59:28-03"	ANSP	ANSP-ICHTHYOLOGY	16990	Callichthys	S	Animalia	Chordata	Actinopteri	Siluriformes	Callichthyidae	Callichthys				H.W.Fowler																	"No locality data."	0	0										"[0 alc; 1 sk; 0 c&s]"	1				"Identif.Remarks: Skin. Missing. Location Remarks: E.D. Cope collection."	ANSP016990
"2015-09-01 10:59:28-03"	ANSP	ANSP-ICHTHYOLOGY	170360	Callichthys	S	Animalia	Chordata	Actinopteri	Siluriformes	Callichthyidae	Callichthys				W.G.Saul,1993						DF93-10	"Dan & Pat Fromm"	1993	06	02		01:01		Paraguay	Misiones		"Stream crossing Ruta 1 at km A240/E125.*"	-56.977691	-26.872823										"seine [1 alc; 0 sk; 0 c&s]"	1				"Location Remarks: *pH 5.4, 58°F at edge, colder at middle. Water-clear, current-moderate, bottom-sand. See FN. Georef.Remarks: Polygon covers Ruta 1 in Misiones, coordinates placed at center of polygon."	ANSP170360
"2015-09-01 10:59:28-03"	ANSP	ANSP-ICHTHYOLOGY	21452	"Callichthys asper"	S	Animalia	Chordata	Actinopteri	Siluriformes	Callichthyidae	Callichthys	asper			H.W.Fowler						JH-PEBAS	"John Hauxwell [correspondent at Pebas]"							Peru			"Pebas [originally cited as ##Eastern Equador##]"	-71.863359	-3.322622										"[5 alc; 0 sk; 0 c&s]"	5	"ANSP 21452-56"			"Location Remarks: E.D. Cope collection. Georef.Remarks: Coordinates at Pebas"	ANSP021452
"2015-09-01 10:59:28-03"	ANSP	ANSP-ICHTHYOLOGY	124083	"Callichthys callichthys"	S	Animalia	Chordata	Actinopteri	Siluriformes	Callichthyidae	Callichthys	callichthys			"W.G.Saul, 1973"						FP-5	"E. J. Phillips"							Paraguay			"Primavera; Alto Paraguay."	-56.6573	-24.127126										"[1 alc; 0 sk; 0 c&s]"	1				"Georef.Remarks: Coordinates at Colonia Primavera. Additional information from: \"Rhachidelus brazili (Squamata: Serpentes): first records from Paraguay and##clarification of the correct spelling of the generic name\"##Paul Smith,Norman Scott, Pier Cacciali & Karina Atkinson."	ANSP124083
"2015-09-01 10:59:28-03"	ANSP	ANSP-ICHTHYOLOGY	124097	"Callichthys callichthys"	S	Animalia	Chordata	Actinopteri	Siluriformes	Callichthyidae	Callichthys	callichthys			"W.G.Saul, 1973"						Z124087	"E. J. Phillips"							Paraguay			"Primavera; Alto Paraguay; Mbopicua near Tobaty."	-57.116667	-24.316667										"[1 alc; 0 sk; 0 c&s]"	1				"Georef.Remarks: Coordinates at Mbopicua."	ANSP124097
"2015-09-01 10:59:28-03"	ANSP	ANSP-ICHTHYOLOGY	124102	"Callichthys callichthys"	S	Animalia	Chordata	Actinopteri	Siluriformes	Callichthyidae	Callichthys	callichthys			"W.G.Saul, 1973"						FP-36	"E. J. Phillips"							Paraguay			"Primavera; Alto Paraguay."	-56.6573	-24.127126										"[1 alc; 0 sk; 0 c&s]"	1				"Georef.Remarks: Coordinates at Colonia Primavera. Additional information from: \"Rhachidelus brazili (Squamata: Serpentes): first records from Paraguay and##clarification of the correct spelling of the generic name\"##Paul Smith,Norman Scott, Pier Cacciali & Karina Atkinson."	ANSP124102
"2015-09-01 11:23:01-03"	ANSP	ANSP-ICHTHYOLOGY	130428	"Callichthys callichthys"	S	Animalia	Chordata	Actinopteri	Siluriformes	Callichthyidae	Callichthys	callichthys			"W.G.Saul, 1975"						WGS67-35	"W. G. Saul, J. D. Lynch"	1967	06	23		01:01		Ecuador	Napo		"Swamp at Santa Cecilia."	-77.003797	0.065772										"[10 alc; 0 sk; 3 c&s]"	13	"KU 13720"			"Identif.Remarks: *Range SL for C&S specimens only. Georef.Remarks: The locality is plotted as an approximate because the description is too vague."	ANSP130428
"2015-09-01 11:23:01-03"	ANSP	ANSP-ICHTHYOLOGY	130429	"Callichthys callichthys"	S	Animalia	Chordata	Actinopteri	Siluriformes	Callichthyidae	Callichthys	callichthys			"W.G.Saul, 1975"						WGS67-21	"W. G. Saul, et al."	1967	06	07		01:01		Ecuador	Napo		"Stream trib. of Rio Conejo at Santa Cecilia."	-77.126413	0.062774										"[5 alc; 0 sk; 0 c&s]"	5	"KU 13718"			"Location Remarks: G.R.Smith, J.D.Lynch."	ANSP130429
