datelastmodified	institutioncode	collectioncode	catalognumber	scientificname	basisofrecord	kingdom	phylum	class	ordem	family	genus	species	subspecies	scientificnameauthor	identifiedby	yearidentified	monthidentified	dayidentified	typestatus	collectornumber	fieldnumber	collector	yearcollected	monthcollected	daycollected	julianday	timeofday	continentocean	country	stateprovince	county	locality	longitude	latitude	longitude_mun	latitude_mun	coordinateprecision	boundingbox	minimumelevation	maximumelevation	minimumdepth	maximumdepth	sex	preparationtype	individualcount	previouscatalognumber	relationshiptype	relatedcatalogitem	notes	barcode
"2018-11-21 11:08:42-02"	MCZ	HU-ZOO	62213	"Lepidosiren paradoxa"	S	Animalia	Chordata	Osteichthyes	Ceratodontiformes	Lepidosirenidae	Lepidosiren	paradoxa		"Fitzinger, 1837"	"Museum of Zoology, University of Sao Paulo"						BARATA74:0729	"A. Barata"	1974	07	29			"South America"	Brazil	Para		Belém	-48.512264	-1.333901										"whole animal (alcohol)"	1				"age class: adult"	
"2019-03-29 16:16:03-03"	MCZ	HU-ZOO	62214	"Lepidosiren paradoxa"	S	Animalia	Chordata	Osteichthyes	Ceratodontiformes	Lepidosirenidae	Lepidosiren	paradoxa		"Fitzinger, 1837"	"Museum of Zoology, University of Sao Paulo"						MZUSP:BOMJARDIM	"[no agent data]"	1700	01	01			"South America"	Brazil	Para		"Belém, Bom Jardim, near Pariguis"	-48.506209	-1.473771										"whole animal (alcohol)"	1				"age class: adult; standard length: 512mm"	
"2018-11-21 11:08:42-02"	MCZ	HU-ZOO	62215	"Lepidosiren paradoxa"	S	Animalia	Chordata	Osteichthyes	Ceratodontiformes	Lepidosirenidae	Lepidosiren	paradoxa		"Fitzinger, 1837"	"Instituto Nacional de Pesquisas da Amazônia"						INPA80:10	"Instituto Nacional de Pesquisas da Amazônia"	1980	10	01			"South America"	Brazil	Amazonas		"Lago do Manaquiri, above Lago Janauacá"	-60.506823	-3.5097										"whole animal (alcohol)"	1				"age class: adult; standard length: 543mm"	
"2019-01-16 09:20:43-02"	UNICAMP	ZUEC-PIS	13480	"Lepidosiren paradoxa"	S	Animalia	Chordata	Actinopterygii	Lepidosireniformes	Lepidosirenidae	Lepidosiren	paradoxa			"F. C. T. Lima"							"W. G. R. Crampton, F. C. T. Lima, J. D. Bogotá-Gregory, N. Lovejoy et al."							Brasil	Pará	Santarém	"Ilha Marimaituba, Lago Santana, rio Amazonas"	-55.035833	-2.1875											07					
"2017-08-28 12:43:18-03"	UEM	NUP	3544	"Lepidosiren paradoxa"	S	Animalia	Chordata	Sarcopterygii	Lepidosireniformes	Lepidosirenidae	Lepidosiren	paradoxa		"Fitzinger, 1837"	"Pavanelli, CS"	2004	06	30			NUPE2001121101	Nupelia	2001	12	11			"América do Sul"	Brasil	"Mato Grosso"	"Barao De Melgaco"	"Baía Sinhá Mariana"	-55.9027778	-16.3388889											2				"<ll>dwc_commonname:</ll> South American lungfish"	
"2018-08-17 09:22:39-03"	UEL	MZUEL-PEIXES	12331	"Lepidosiren paradoxa"	S	Animalia	Chordata	Sarcopterygii	Lepidosireniformes	Lepidosirenidae	Lepidosiren	paradoxa		"Fitzinger, 1837"							AF00000001	"Alberto Fenochio"						"América do Sul"	Argentina	Missiones		"rio Paraná"	0	0											2					
"2018-08-17 09:22:39-03"	UEL	MZUEL-PEIXES	17137	"Lepidosiren paradoxa"	S	Animalia	Chordata	Sarcopterygii	Lepidosireniformes	Lepidosirenidae	Lepidosiren	paradoxa		"Fitzinger, 1837"	"José Birindelli"	2016	12	01			OAS199801	"Thadeu Rantim"	1998	01	01			"América do Sul"	Brasil	"Mato Grosso"	Cuiaba	"bacia do rio Paraguai"	0	0	-56.0966987609863	-15.5960998535156	74875								3					
"2018-08-17 09:22:39-03"	UEL	MZUEL-PEIXES	9802	"Lepidosiren paradoxa"	S	Animalia	Chordata	Sarcopterygii	Lepidosireniformes	Lepidosirenidae	Lepidosiren	paradoxa		"Fitzinger, 1837"	"Alexander Claro-García, Oscar Shibatta"						JLB2014082102	"JLB; ACG; ESS; Aline Dias; Amanda Araujo; Angélica Tiepo; Armando Vieira; Bruna Scapin; Bruno Garcia"	2014	08	21			"América do Sul"	Brasil	"Mato Grosso do Sul"	Corumba	"Ponte 13+760km"	-57.0406944444	-19.5262222222											1					
"2019-02-16 20:25:58-02"	UFRJ	NPM	1343	"Protopterus sp."	S	Animalia	Chordata	Osteichthyes	Lepidosireniformes	Lepidosirenidae	Protopterus	sp.									"DHF 15"	"D. M. Fry & D. H. Fry, Jr."	1957	12	16				UGANDA			"Uganda, Lake George. West shore, near Kasenyi."	30.14833	0										Liquid	3	"SU 51379"			"Original lot (CAS): 10 specimens"	
"2019-02-16 20:25:58-02"	UFRJ	NPM	1328	"Lepidosiren paradoxa"	S	Animalia	Chordata	Osteichthyes	Lepidosireniformes	Lepidosirenidae	Lepidosiren	paradoxa			"Jose M. Cei"						"JMC 09-XII-50"	"Jose M. Cei"	1950	12	09				ARGENTINA	Formosa		"Argentina, Formosa. Laguna Oca, Rio Paraguay at Formosa."	0	0										Liquid	1	"SU 17743"			"Original lot: 3 specimens."	
